plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
pear,Oak root fungus (Armillaria root rot),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FU.005a.jpg,,,,,,,"if less than half of the crown's circumference is girdled, it may be possible to save the tree. in late spring, remove the soil from around the crown area and cut away all bark and tissue of the crown invaded by the white leathery fungus. leave uninfected tissue intact and keep the crown exposed for drying. if more than half of the crown is infected, the tree should be removed. before replanting, allow the soil to dry out. plant on mounds with roots close to the soil surface, and replant with a resistant species. maintaining trees with good fertilization and irrigation programs helps preserve their natural resistance to this fungus.",,,armillaria root rot (oak root fungus) €” armillaria mellea,"symptoms on trees infected with oak root fungus vary. if the disease develops quickly, leaves tend to be small and chlorotic and drop early. shoot growth is poor and shoot dieback is common. trees with slow development of the disease show premature fall coloring of the foliage. foliage symptoms may be expressed on only one or two scaffolds if the crown is only partially girdled. dark rhizomorphs (shoestringlike structures) develop and grow along the surface of healthy roots."
pear,Pear decline,MLOÃ‚ Ã‚ ,Phytoplasma,https://ipm.ucanr.edu/PMG/IMAGES/U/D-PE-UNKM-FO.001a.jpg,,,,,,,"some tolerant rootstocks may be available. to keep the disease in remission on susceptible rootstocks, control pear psylla and maintain trees in good vigor; reduce stress caused by inadequate irrigation, nutrient deficiency, weed competition, and lack of pruning. consider replacing trees on susceptible rootstocks with resistant ones.",,,pear decline,"pear decline is caused by a microorganism called a mycoplasma, which is spread by pear psylla. trees with pear decline have poor shoot and spur growth, dieback of shoots, upper rolling of leaves, reduced leaf and fruit size, and premature leaf drop. sudden tree collapse can result from tissue damage at the graft union on highly susceptible rootstocks, but slow decline is more common."
pear,Pear rust,Gymnosporangium libocedri,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/G/D-PE-GLIB-FU.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/G/D-PE-GLIB-FU.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/G/D-WO-GLIB-FU.001a.jpg,,,,,"infected pear and other rose family plants develop discolored spots with dry, powdery or rough, reddish, yellowish, or orange spore masses. groups of tiny, cup-shaped, spore-forming bodies appear as pustules on fruit, green stems, and leaves. on fruiting pears, infections occur primarily on the fruit.","gymnosporangium libocedri alternates between incense cedar and apple, hawthorn, mountain ash, pear, quince, and serviceberry. spores are produced on incense cedar in the spring and disperse in air to infect the young tissues of pear and the other rosaceous hosts. wet weather favors rust disease, so infection and damage is more common on rosaceous hosts when it is rainy in the spring. the fungus grows in infected rosaceous hosts and produces airborne spores that infect incense cedar, usually in late summer or fall. damage flower petals, fruit, green stems, and leaves can become spotted. infected fruit become distorted. fruit and leaves may drop prematurely.",,"flower petals, fruit, green stems, and leaves can become spotted. infected fruit become distorted. fruit and leaves may drop prematurely. solutions",,pear rust€”gymnosporangium libocedri,"the fungus infects pear, certain other rosaceae plants, and incense cedar. its other names include cedar broom rust, incense cedar rust, and pacific coast pear rust."
pear,Pear scab,Venturia pirina,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/V/D-PE-VPIR-FF.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/V/D-PE-VPIR-FR.006a.jpg,,,,,,,"early severe infections are of concern, but late-season infections can be tolerated because peeling removes scabs. rake or remove leaves on the ground during the winter. fall foliar fertilizer applications of zinc and urea may hasten leaf fall and reduce the number of spores in the spring. avoid sprinklers, but if you use them, irrigate between sundown and noon of the following day to allow adequate leaf drying before significant infection can occur.",,,pear scab€”venturia pirina,"scab first appears as velvety, dark olive to black spots on fruit, leaves, and stems. the fruit spots become scablike with age and the fruit may become misshapen. on leaves, the infections cause leaf puckering and twisting and eventually tear with age."
peony,Leaf blotch,Cladosporium paeoniae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
pepper,Curly top,Beet curly top virus (BCTV),Virus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/curlytop.html,
pepper,Mosaic viruses,none,Virus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-PR-PCMV-FS.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PR-PCMV-FR.001a.jpg,,,,,,,"minimize plant handling and damage to reduce the dispersal of some viruses that can be spread mechanically. for viruses transmitted by aphids, it is not practical to try to control them by using insecticides. reflective mulches may reduce or delay infections as it helps repel insects from plants. pull up plants showing symptoms; they will be unproductive and may allow disease to spread to nearby healthy plants. keep broadleaf weeds down, because they may serve as a reservoir of viruses and facilitate spread. plant resistant varieties if available.",,,mosaic viruses of peppers and eggplants,"peppers and eggplants are susceptible to several different viruses. many are spread by aphids, and some are spread by seed or mechanically. symptoms of viruses include mosaic patterns (alternating light and dark green coloring) on leaves, leaf curling, fruit distortion, overall stunting of the plant, or death."
pepper,Phytophthora root and crown rot,Phytophthora spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-PR-PSPP-RO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PR-PCAP-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PR-PCAP-ST.001a.jpg,,,,,,"the fungus that causes phytophthora root and crown rot survives in soil as spores (oospores) for several years. water, temperature, and soil texture are the major factors affecting the development of root and crown rot. the presence of water is mandatory; soil saturation for as little as 5 to 6 hours can result in infection. optimum temperature for plant infection is 75 to 92°f. contaminated seed and transplants or soilborne inoculum are sources of primary infections. irrigation water often disseminates fungal propagules from infested areas to other parts of the garden. increased frequency and duration of irrigation favor disease development. symptoms usually appear following a warm, wet period. the disease is severe in fine-textured soils that drain slowly and in highly compacted soils. the phytophthora species that attacks peppers and eggplants also affects tomatoes.","plant on raised beds with well-drained soil. in heavy soils that are poorly drained, root and crown rot may be reduced by carefully managed drip irrigation. the disease can be effectively prevented by a program integrating crop rotations of 2 years that excludes susceptible plants (corn, beans, or strawberries would be good rotation choices), with irrigation management, clean seed, and transplants. some resistant cultivars may be available.",,,"phytophthora root and crown rot on peppers and eggplant€”phytophthora capsici, p. parasitica","above ground symptoms of rot on peppers or eggplants include rapid wilting and death of affected plants. tap roots and smaller lateral roots show water-soaked, very dark brown discoloration of cortical and xylem tissue. very few lateral roots remain on diseased plants and the tap roots may also be shorter compared with those of healthy plants. stems are usually infected at the soil line and may girdle. stem lesions are first dark green and water soaked, then later dry and turn brown."
pepper,Powdery mildew,Leveillula taurica,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
pepper,Spotted wilt virus,Tomato spotted wilt virus,Virus,https://ipm.ucanr.edu/PMG/IMAGES/T/D-PR-TSWV-FR.001a.jpg,,,,,,"spotted wilt virus is transmitted by various species of thrips. once thrips nymphs acquire the virus by feeding on infected plants, they will retain the ability to transmit it for the remainder of their lives. spotted wilt virus can be passed from infected females through the eggs to her offspring. in addition to infecting its insect vectors, spotted wilt has an extremely wide host range among plants, including many weeds as well as crop hosts such as peppers and tomatoes. it is one of the few plant viruses whose host range includes broadleaf and grassy plants (including onions).","although spotted wilt virus is extremely widespread and very damaging in greenhouses on ornamentals, it is not usually a serious problem in gardens. control nearby weeds, which are reservoir hosts of the virus and thrips. destroy infected plants. the use of insecticides to control thrips will not reduce their numbers enough to eliminate virus spread.",,,spotted wilt virus on peppers,"symptoms on plants infected with spotted wilt virus include overall yellowing (chlorosis), dead spots on leaves or terminal shoots, and general stunting. fruits show chlorotic spots, red and/or green areas surrounded by yellow halos, and concentric rings that may become necrotic."
pepper,Verticillium wilt,Verticillium dahliae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/V/D-PR-VDAH-ST.001a.jpg,,,,,,,"verticillium wilt is caused by a soilborne fungus and can survive in the soil indefinitely as microsclerotia that germinate in the vicinity of roots. verticillium wilt is favored by cool air and soil temperatures. where verticillium has been a problem, follow good sanitation practices and avoid ground previously planted with potatoes, tomatoes, or cucurbits. the fungus has an extremely wide host range, including many common weeds. rotate peppers with nonhosts, such as corn, for a period of 2 years. using soil solarization before planting may help reduce verticillium levels in the soil.",,,verticillium wilt on peppers and eggplant€”verticillium dahliae,"wilting of leaves is a common symptom of plants infected with verticillium wilt. eventually the margins and tips of leaves become dry and turn brown. the vascular system of the roots, stem, and branches shows light brown discoloration."
pine,Pitch canker,Fusarium circinatum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-BT.013h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-BT.014h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-BT.015h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-ST.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-ST.006h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74107.html,
plum,Powdery mildew,Podosphaera tridactyla,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FO.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FR.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-FR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SPAN-FR.014h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-BT.004h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7494.html,
plum,Powdery mildew,Sphaerotheca pannosa,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FO.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FR.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-FR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SPAN-FR.014h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-BT.004h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7494.html,
poplar,Armillaria root rot (Oak root fungus),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FS.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AM-AMEL-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-CU.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html,
poplar,Oak root fungus (Armillaria root rot),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FS.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AM-AMEL-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-CU.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html,
potato,Bacterial ring rot,Clavibacter michiganensis,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/C/D-PO-CSEP-FO.013a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-PO-CSEP-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-PO-CSEP-TU.006a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-PO-CSEP-TU.011a.jpg,,,,,,"the bacterial ring rot bacterium overwinters in infected tubers. it does not live freely in the soil, but it can survive for several years as dried slime on equipment or potato sacks. the bacterium is highly contagious. it infects tubers through wounds that reach into the vascular ring. seed cutting is the principal means of spreading. the ring rot bacterium is a vascular parasite and moves up in the water-conducting tissues and produces toxins that cause foliar symptoms. rosetting and other early symptoms of dwarfing occur when bacteria proliferate in very young stems of certain varieties. about half to three-fourths of the daughter tubers of an infected plant will be infected with the ring rot bacteria, but may not develop symptoms. ring rot develops in tubers most rapidly at 64 to 75°f and only slightly at 37°f.","use only certified seed tubers, rotate out of potatoes for at least 1 year, and follow strict sanitation procedures when cutting seed. periodically disinfect cutting tools in a 1% solution of calcium hypochlorite.",,,bacterial ring rot of potatoes€”clavibacter michiganensis pv. sepedonicus,"in some potato varieties bunchy or rosetted terminal leaves may appear on young plants. terminals appear darker green than the rest of the plant. foliar symptoms of bacterial ring rot generally appear at midseason or later. yellow areas develop on leaf margins or between veins and later turn brown, giving the leaves a burned appearance. the leaflet margin rolls up and becomes necrotic. plants with advanced symptoms show vascular discoloration and milky, viscous bacteria may be forced from cut stems. in tubers the rot begins as a brown necrosis in the vascular ring and progresses to the surface. cracks may appear on surfaces of tubers, which are frequently nothing more than hollow shells."
potato,Bacterial soft rot and blackleg,Erwinia carotovora,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/E/D-PO-ECAR-TU.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-PO-ECAR-TU.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-PO-ECAR-ST.001a.jpg,,,,,,"bacterial soft rot and blackleg infections are favored by high soil moisture and high temperatures. the bacteria are carried in and on seed pieces, in soil, and in water. it can also be spread by insects and enter growth cracks or any injury. during and after harvest, soft rot is favored by immature tubers, adverse temperatures, mechanical damage, and free water on tuber surfaces.","avoid planting in extremely wet soil, provide good drainage, and do not overirrigate. use high quality, pathogen-free tubers for seed and avoid excessive hilling when planting. avoid excessive soil moisture before harvest to reduce infection; harvest mature tubers with well-set skins and avoid mechanical injury. use clean water to wash potatoes and avoid water films on tuber surfaces during storage. eliminate cull piles and potato volunteers in rotation crops. avoid susceptible varieties.",,,bacterial soft rot and blackleg of potatoes€”pectobacterium carotovorum subsp. carotovorum and p. chrysanthemi.,"symptoms of soft rot include rotted tissues that are wet, cream to tan in color, and soft. rot begins on the tuber surface and progresses inward. infected tissues are sharply delineated from healthy tissue by dark brown or black margins. shallow necrotic spots on the tubers result from infections. rotting tissue is usually odorless in the early stages of decay, but develops a foul odor as secondary organisms invade infected tissue. plants with blackleg are stunted and have a stiff, erect growth habit. foliage becomes chlorotic and the leaflets tend to roll upward at the margins. stems of infected plants exhibit an inky black decay. the base of the stem is often completely rotted. in relatively dry soil, only the pith may show blackening. tuber symptoms for blackleg are similar to those of soft rot."
potato,Common scab,Streptomyces spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-PO-SSCA-TU.008a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-PO-SSCA-TU.022a.jpg,,,,,,,"common scab is largely cosmetic; affected tubers are edible. many varieties are resistant. if scab occurs, change varieties in the next year. the disease is favored by neutral to basic soil; sulfur may be worked into the soil to make it slightly acidic and thus reduce disease.    ",,,common scab of potato€”streptomyces spp.,"common scab lesions are usually circular and 6 - 8 mm in diameter, but they can be smaller in early stages of development and larger if they coalesce. lesions typically possess a raised margin and slightly depressed center. scab may appear on tubers as superficial tan to brown corky lesions or beneath the tuber surface as lesions with depressions. lesions may also be cushionlike or warty."
potato,Curly top,Beet curly top virus (BCTV),Virus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/curlytop.html,
potato,Early blight,Alternaria solani,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-PO-ASOL-TU.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-PO-ASOL-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-PO-ASOL-ST.005a.jpg,,,,,,"the early blight fungus can overwinter on potato refuse in the garden, in soil, on tubers, and on other solanaceous plants. infection occurs when spores of the fungus come in contact with susceptible leaves and sufficient free moisture is present. spore germination and infection are favored by warm weather and wet conditions from dew, rain, or sprinkler irrigation. alternate wet and dry periods with relatively dry, windy conditions favor spore dispersal and disease spread. tubers can be infected as they are lifted through the soil at harvest. if sufficient moisture is present, spores germinate and infect the tubers.","early blight can be minimized by maintaining optimum growing conditions, including proper fertilization, irrigation, and management of other pests. grow later maturing, longer season varieties.",,,early blight on potatoes€”alternaria solani,"early blight is primarily a disease of stressed or senescing plants. symptoms appear first on the oldest foliage. affected leaves develop circular to angular dark brown lesions 3 to 4 mm in diameter. concentric rings often form in lesions to produce a characteristic target-board effect. severely infected leaves turn yellow and drop. dark brown lesions develop on stems in later stages of the disease. infected tubers show a brown, corky dry rot."
potato,Late blight,Phytophthora infestans,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-PINF-ST.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-PINF-FO.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-PINF-TU.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-TO-PINF-FO.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-TO-PINF-FR.001a.jpg,,,,,,"late blight occurs commonly in coastal environments and sporadically elsewhere. the fungus inoculum can originate from seed tubers, cull piles, volunteers, closely related weed hosts such as nightshade, and adjacent plantings of potatoes or tomatoes that are affected. late blight can develop and spread rapidly if inoculum is present and conditions are conducive. high humidity and average temperatures in the range of 50 to 78°f favor the disease. air circulation to facilitate the drying of foliage each day is important. overhead sprinklers can favor late blight.","use certified plants and tubers. when late blight has developed on foliage and fruit or tubers are at a risk of infection, make sure that vines have been completely dead for 2 €“ 3 weeks before harvest as the fungus does not survive very long in dead foliage. avoid sprinkler irrigation. destroy all tomato, potato, eggplant, and pepper debris after harvest.",,,late blight€”phytophthora infestans,"phytophthora infestans has a wide host range, including tomato, potato, pepper, and eggplant. on leaves, late blight lesions typically first appear as irregular, small pale to dark green water-soaked spots that are surrounded by a zone of yellowish tissue. lesions may expand rapidly and become brown to purplish black. white sporulation of the fungus may be observed at the periphery of lesions, principally on the underside of leaves. on stems and petioles, lesions are brown to black and may also support sporulation of the fungus. fruit discoloration usually begins on the upper side of the fruit. affected fruit remain firm. tubers develop a firm brown decay."
potato,Mosaic viruses,none,Virus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-POMV-FO.006a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-PO-ALMV-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-POMV-FO.018a.jpg,,,,,,"for the most part, mosaic viruses that infect potatoes are transmitted by aphids. they feed on the sap of infected plants and transmit the virus to healthy plants. nearby weeds may also serve as alternate hosts for the virus. potato tubers are probably the primary overwintering reservoir of these viruses. other viruses with no known insect vector may be carried in tubers and transmitted mechanically by machinery, root-to-root contact, sprout-to-sprout contact, or seed-cutting equipment.","control weeds as some may serve as alternate hosts for virus. buy and plant virus-free seed or seed tubers. some varieties may show resistance. after symptoms on plants occur, there is no practical control. reflective mulches or row covers may help prevent infection by aphid-transmitted viruses. plants showing symptoms near harvest are edible.",,,mosaic viruses of potato,"many viruses are difficult to distinguish from one another based on symptoms alone. in addition, for each particular disease, symptoms will vary greatly depending on stage of plant at time of infection and other factors. in general, virus symptoms consist of various leaf and plant deformities, stunting and poor growth, or yellowing or mosaic or mottling pattern in the leaves. leaves may be crinkled or wavy. dry, corky areas or necrotic streaks may be present. identification of the particular pathogenic agent can only be made with serological, inoculation, or other laboratory tests."
potato,Potato leafroll,Potato leaf roll virus,Virus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-PLRV-FO.017a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-PO-PLRV-TU.001a.jpg,,,,,,"potato leafroll virus can be introduced to a potato field by infected seed tubers or by aphids that have fed on infected potato plants. the most efficient vector of the virus is the green peach aphid. several minutes to hours are required for the aphid vector to acquire the virus, but once the virus has been acquired, the aphid carries it for life. winged aphids carried in air currents spread the virus over long distance, and wingless aphids are important in spreading it from plant to plant. aphid feeding introduces potato leafroll virus into the food-conducting tissue of a plant vascular system, where the virus multiplies, spreads, and initiates disease. potato leafroll virus is not transmitted mechanically.","although leafroll is transmitted by aphids, control of aphids once present will not prevent disease. use of reflective mulches to repel aphids may help. use certified seed pieces. avoid saving seed potatoes from gardens. use resistant potato varieties. remove and destroy any infected plants to help control virus spread. brown areas in tubers can be cut away before eating, if desired.",,,potato leafroll€”potato leafroll virus,"plants with leafroll infections typically are stunted and may appear erect. leaves roll upward at the margins, have a stiff leathery texture, may be chlorotic, and die prematurely. potato leafroll virus can also cause necrotic netting in the tuber vascular tissue of some varieties."
potato,Powdery mildew,Erysiphe cichoracearum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
potato,Powdery scab,Spongospora subterranea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-PO-SSUB-TU.003a.jpg,,,,,,"the fungus that causes powdery scab survives in the soil as resting spores, which form the spore balls released from tuber and root lesions. stimulated by the presence of susceptible host roots, resting spores germinate to produce mobile spores that swim through soil water to infect roots or stolons. these infections produce additional spores that spread infection to roots and tubers. resting spores survive in the soil for up to 6 years and can survive passage through the digestive tract of animals. the fungus can also infect and produce resting spores on the roots of other potato family plants such as tomato and nightshades. powdery scab is favored by cool, moist conditions, and symptoms are most severe on white- and red-skinned tubers.","powdery scab can be minimized by using good cultural practices. use pathogen-free seed tubers, do not use manure from farm animals that have fed on infected tubers, and avoid moving soil from contaminated fields to uninfested areas.",,,powdery scab€”spongospora subterranea,"the powdery scab pathogen infects lenticels and wounds in potato tuber surfaces. tuber cells are stimulated to divide and enlarge, causing the formation of small, purplish brown, raised lesions. the pimple-like lesions or pustules are about 0.13 - 0.25 inch in diameter. they gradually darken and decay, leaving shallow depressions filled with powdery masses of dark brown spore balls. roots may also be infected, resulting in the formation of small, white galls that also break down to release masses of spore balls."
potato,Seed piece decay,Erwinia carotovora,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/F/D-PO-FSPP-TU.013a.jpg,,,,,,"seed piece decay is usually caused by the combined action of the fusarium fungi that cause dry rot in potatoes and the erwinia bacteria that cause blackleg, although decay can sometimes be caused by fusarium alone. fusarium spores are present virtually everywhere in the soil. they germinate and infect the freshly cut surfaces of seed pieces, causing lesions that later may be invaded by erwinia. when seed pieces are infected by both erwinia and fusarium, losses from seed piece decay are much greater than when fusarium is present by itself. cool soil that is too wet or too dry favors the development of seed piece decay.",plant only certified seed potatoes. cut them when sprouts just begin to form and plant the seed pieces immediately. plant when soil temperature is above 45°f.,,,seed piece decay€”fusarium spp. and erwinia carotovora,"the first signs of seed piece decay on potatoes are reddish brown to black spots that slowly form depressions on the surfaces of cut seed pieces. later these spots may become black and slimy from bacterial infections. entire seed pieces will rot and fail to emerge if enough infections develop. seed piece decay reduces stands, results in variable plant size, and may increase the incidence of blackleg."
potato,Seed piece decay,Fusarium spp.,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/F/D-PO-FSPP-TU.013a.jpg,,,,,,"seed piece decay is usually caused by the combined action of the fusarium fungi that cause dry rot in potatoes and the erwinia bacteria that cause blackleg, although decay can sometimes be caused by fusarium alone. fusarium spores are present virtually everywhere in the soil. they germinate and infect the freshly cut surfaces of seed pieces, causing lesions that later may be invaded by erwinia. when seed pieces are infected by both erwinia and fusarium, losses from seed piece decay are much greater than when fusarium is present by itself. cool soil that is too wet or too dry favors the development of seed piece decay.",plant only certified seed potatoes. cut them when sprouts just begin to form and plant the seed pieces immediately. plant when soil temperature is above 45°f.,,,seed piece decay€”fusarium spp. and erwinia carotovora,"the first signs of seed piece decay on potatoes are reddish brown to black spots that slowly form depressions on the surfaces of cut seed pieces. later these spots may become black and slimy from bacterial infections. entire seed pieces will rot and fail to emerge if enough infections develop. seed piece decay reduces stands, results in variable plant size, and may increase the incidence of blackleg."
potato,Verticillium wilt,Verticillium dahliae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/V/D-PO-VDAH-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/V/D-PO-VDAH-ST.001b.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/V/D-PO-VDAH-TU.002a.jpg,,,,,,"the fungus that causes verticillium forms resistant structures that can survive for years in the soil in the absence of a living host. in the presence of a host plant, the resistant structures germinate and penetrate the plant's roots either directly or through wounds. once inside the root, the fungus grows until it reaches the water-conducting cells, inside which it spreads upward through the plant, restricting water flow. infection is favored by cool weather, but injury is most severe during periods of hot weather when plants are stressed for water.","verticillium wilt is caused by a soilborne fungus. avoid soil previously planted with tomatoes, peppers, eggplant, or cucurbits. rotate out of these susceptible crops and potatoes for 2 or 3 years. legumes are good rotation crops. following good sanitation practices and using soil solarization may help minimize problems. some varieties are more tolerant than others.  ",,,verticillium wilt on potatoes€”verticillium dahliae,"verticillium wilt becomes evident when lower leaves on the vine turn yellow and wither. symptoms progress upward until the entire plant yellows and wilts. vascular tissue of stems becomes a light brown, which is best observed near ground level. some tubers from infected plants may develop a light brown discoloration in the vascular ring near the stem end. wilt causes early senescence of plants in heavily infested fields."
